Book Sr no.,Title,Subject,Edition,Edition-year,Author,Publisher,Semester,Price,Year of first use,Age,ISBN,Branch,University,Cover1,Cover2,Page1,Page2,Course,
1,A Programmer's Guide to Java Certification,Java,2,,Khalid A. Mughal Rolf W. Rasmussen,Pearson Education,Three,550,2006,16,81-7758-273-9,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A15%3A13.957Z-programmer%20Guide%20Java_Khalid%20Mughal_2006_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A15%3A13.970Z-programmer%20Guide%20Java_Khalid%20Mughal_2006_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A15%3A14.030Z-programmer%20Guide%20Java_Khalid%20Mughal_2006_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A15%3A14.044Z-programmer%20Guide%20Java_Khalid%20Mughal_2006_4.jpg,B.Tech,
2,Analog and digital communication ,Analog and digital communication ,2,,H P HSU,Tata McGraw Hill,Three,,2010,12,0-07-060186-0,ELEX,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A27%3A50.052Z-analog_hp_2010_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A27%3A50.072Z-analog_hp_2010_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A27%3A50.091Z-analog_hp_2010_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A27%3A50.102Z-analog_hp_2010_4.jpg,B.Tech,
3,Applied Chemistry,Chemistry,1,,Dr. K. H. SADRI A.K. DAS,Technical Publications,One,50,2010,12,,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A33%3A52.785Z-AC_KH%20Sadri%20%20AK%20Das_2010_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A33%3A52.788Z-AC_KH%20Sadri%20%20AK%20Das_2010_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A33%3A52.811Z-AC_KH%20Sadri%20%20AK%20Das_2010_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A33%3A52.820Z-AC_KH%20Sadri%20%20AK%20Das_2010_4.jpg,B.Tech,
4,Applied Chemistry,Chemistry,4,2010,Dr. Jayshree A. Parikh,Techmax publication,One,355,2010,12,978-81-8407-925-8,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A37%3A45.792Z-AC_parekh_2010_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A37%3A45.797Z-AC_parekh_2010_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A37%3A45.805Z-AC_parekh_2010_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A37%3A45.825Z-AC_parekh_2010_4.jpg,B.Tech,
5,Applied Chemistry,Chemistry,4,2010,Dr. Jayshree A. Parikh,Techmax publication,One,355,2016,6,978-81-8407-925-9,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A39%3A41.901Z-AC1_Jayshree%20Parikh_2016_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A39%3A41.909Z-AC1_Jayshree%20Parikh_2016_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A39%3A41.919Z-AC1_Jayshree%20Parikh_2016_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A39%3A41.942Z-AC1_Jayshree%20Parikh_2016_4.jpg,B.Tech,
6,Applied Chemistry,Chemistry,1,2016,Dr.Prabha shah,P.Jamnadas  LLP,One,200,2018,4,978-81-939956-9-3,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A46%3A31.103Z-AC1_PRABHA%20MANJU%20BISWAJIT%20_%202018_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A46%3A31.112Z-AC1_PRABHA%20MANJU%20BISWAJIT%20_%202018_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A46%3A31.124Z-AC1_PRABHA%20MANJU%20BISWAJIT%20_%202018_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A46%3A31.131Z-AC1_PRABHA%20MANJU%20BISWAJIT%20_%202018_4.jpg,B.Tech,
7,Applied Chemistry,Chemistry,2,2016,Dr.Prabha shah,P.Jamnadas  LLP,Two,230,2018,4,978-81-934656-9-1,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A49%3A43.761Z-AC2_Prabha%20%20Manju%20%20Biswajit_2018_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A49%3A43.776Z-AC2_Prabha%20%20Manju%20%20Biswajit_2018_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A49%3A43.794Z-AC2_Prabha%20%20Manju%20%20Biswajit_2018_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A49%3A43.818Z-AC2_Prabha%20%20Manju%20%20Biswajit_2018_4.jpg,B.Tech,
8,Applied Chemistry,Chemistry,3,2014,Dr. Trupti S.Paradkar,Technical publication,Two,230,2016,6,9789350389638,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A55%3A21.241Z-AC2_TRUPTI%20PARADKAR_2016_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A55%3A21.255Z-AC2_TRUPTI%20PARADKAR_2016_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A55%3A21.279Z-AC2_TRUPTI%20PARADKAR_2016_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T05%3A55%3A21.321Z-AC2_TRUPTI%20PARADKAR_2016_4.jpg,B.Tech,
9,Applied Chemistry Theory and Practice,Chemistry,2,,O. P. Vermani A.K. Narula,New Age International Publishers,One,185,2005,17,978-8122408140,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A09%3A29.323Z-AC_OP%20VERMANI%20%20AK%20NARULA_2005_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A09%3A29.335Z-AC_OP%20VERMANI%20%20AK%20NARULA_2005_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A09%3A29.396Z-AC_OP%20VERMANI%20%20AK%20NARULA_2005_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A09%3A29.408Z-AC_OP%20VERMANI%20%20AK%20NARULA_2005_4.jpg,B.Tech,
10,Applied cryptography,Cryptography Network Security,2,,Bruce Schneier,,Five,740,2015,7,978-0-471-11709-4,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A13%3A51.907Z-Applied%20Cryptography_Bruce%20Schneier_2015_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A13%3A51.912Z-Applied%20Cryptography_Bruce%20Schneier_2015_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A13%3A51.921Z-Applied%20Cryptography_Bruce%20Schneier_2015_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T10%3A13%3A51.932Z-Applied%20Cryptography_Bruce%20Schneier_2015_3.jpg,B.Tech,
